HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,FTR
1.94,2.24,1.82,2.50,1.72,1.76,1.71,2.35,15.72,12.53,14.00,14.00,4.88,5.88,5.22,5.29,2.00
1.13,1.59,1.12,1.76,1.25,1.65,1.26,1.74,11.56,12.47,11.35,11.35,3.88,5.94,4.38,5.12,2.00
1.76,1.24,1.41,1.53,1.59,1.12,1.38,1.47,15.00,10.47,13.35,13.35,4.50,4.18,4.53,3.65,2.00
1.88,0.94,1.53,1.15,1.47,1.12,1.26,1.24,14.41,7.12,12.53,12.53,4.00,3.00,4.65,2.41,0.00
1.29,0.76,1.03,0.94,1.53,0.94,1.21,0.88,13.47,9.00,12.26,12.26,4.24,2.88,4.76,3.12,1.00
1.12,1.69,0.94,1.88,0.82,1.69,0.85,1.73,10.53,12.06,9.70,9.70,2.85,4.94,2.65,4.50,2.00
1.35,0.76,1.18,1.06,1.35,1.41,1.27,1.39,11.35,11.65,9.30,9.30,3.03,4.33,3.59,4.41,0.00
1.12,2.35,0.97,2.58,1.12,2.06,0.94,2.45,12.00,15.41,10.94,10.94,3.48,6.52,3.76,5.76,2.00
1.18,1.12,1.30,1.33,1.12,1.00,1.42,1.15,15.65,9.59,13.24,13.24,3.76,3.88,4.00,3.18,1.00
1.06,1.11,0.67,1.15,1.06,1.28,0.82,1.27,13.76,11.17,11.64,11.64,3.64,3.85,4.00,3.44,1.00
1.41,0.35,1.39,0.42,1.24,0.59,1.30,0.61,16.47,10.76,14.00,14.00,4.85,3.24,5.41,3.18,0.00
2.76,0.76,2.48,1.03,2.94,0.88,2.36,1.18,17.35,11.06,14.88,14.88,5.76,4.21,6.47,3.71,0.00
1.94,1.18,1.73,1.48,1.82,1.06,1.73,1.27,14.88,10.65,13.82,13.82,5.94,3.91,6.76,3.35,1.00
2.47,1.06,1.85,1.45,2.29,1.18,1.91,1.39,13.53,11.71,12.00,12.00,4.18,4.52,4.88,4.47,0.00
1.82,1.41,1.48,1.73,1.82,1.12,1.42,1.48,13.00,14.88,11.82,11.82,4.18,5.06,4.71,4.29,1.00
