HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,FTR
1.20,0.20,0.79,0.32,1.10,0.40,0.89,0.53,12.50,8.90,11.68,11.68,3.63,2.89,3.50,2.90,0.00
1.30,1.20,1.26,1.00,1.20,0.80,1.42,0.84,18.30,11.20,15.32,15.32,5.37,3.42,5.90,3.10,2.00
2.80,1.00,2.42,1.68,3.30,1.00,2.42,1.68,16.90,10.10,14.47,14.47,5.63,4.11,6.80,3.00,0.00
1.82,1.10,1.37,1.63,1.55,1.10,1.32,1.42,17.55,8.40,15.47,15.47,4.58,3.42,5.09,2.00,2.00
1.33,1.00,1.21,1.47,1.22,1.10,1.37,1.47,11.33,9.90,10.95,10.95,3.84,4.16,4.33,2.80,1.00
1.60,0.70,1.47,1.32,1.40,0.70,1.47,1.32,11.90,10.00,10.42,10.42,3.42,3.74,3.40,3.40,0.00
1.10,1.10,1.58,1.68,1.40,0.60,1.79,1.37,14.40,14.10,13.00,13.00,3.84,5.05,3.80,4.10,2.00
1.80,0.70,1.79,1.00,1.60,1.50,1.47,1.53,14.80,11.20,14.58,14.58,5.47,4.63,5.60,4.60,0.00
1.50,2.70,1.26,2.84,1.70,2.20,1.32,2.32,12.50,17.30,10.89,10.89,3.68,6.79,4.40,5.90,2.00
2.44,0.33,1.78,0.67,2.44,0.67,1.72,0.89,13.89,10.78,12.11,12.11,4.22,3.56,5.33,3.78,0.00
0.78,0.75,0.89,1.44,0.89,1.00,0.83,1.33,10.11,12.63,10.61,10.61,3.44,4.67,3.78,3.88,2.00
1.78,1.22,1.50,1.33,1.33,1.67,1.28,1.50,14.33,12.00,13.22,13.22,4.50,5.28,4.56,4.78,2.00
1.33,1.10,1.06,1.22,1.56,1.50,1.56,1.39,12.44,10.60,12.06,12.06,4.72,3.78,4.67,3.40,1.00
2.33,1.00,1.61,1.33,2.22,0.89,1.39,1.33,17.44,9.11,15.89,15.89,5.11,3.67,6.11,2.89,1.00
0.44,1.33,0.33,1.39,0.67,1.56,0.56,1.44,10.22,8.78,9.56,9.56,2.78,3.33,2.89,3.44,2.00
2.00,1.78,1.50,1.72,1.89,1.33,1.50,1.33,15.89,14.33,13.00,13.00,4.28,5.33,5.67,5.33,2.00
2.00,0.67,1.39,0.61,2.00,1.00,1.39,0.72,12.78,8.78,11.33,11.33,3.72,2.78,4.11,3.11,1.00
2.22,2.11,1.56,1.67,1.78,2.22,1.33,1.89,15.22,11.44,11.67,11.67,3.39,4.06,5.00,3.89,2.00
3.00,2.00,2.83,2.39,2.44,1.44,2.28,2.28,18.56,11.78,18.11,18.11,6.83,5.39,7.78,4.33,0.00
0.56,2.25,0.59,2.53,0.44,1.50,0.65,2.35,12.00,12.38,10.24,10.24,2.59,5.41,2.44,4.25,2.00
1.44,0.38,1.29,0.71,1.33,0.63,1.41,0.88,11.33,11.00,9.71,9.71,3.06,3.53,3.22,3.75,0.00
0.88,0.22,0.94,0.35,1.00,0.44,0.88,0.53,10.63,8.89,10.88,10.88,3.47,2.82,3.88,2.67,1.00
2.50,1.00,1.65,1.59,2.50,1.11,1.47,1.59,17.50,10.11,15.82,15.82,5.06,4.35,6.13,2.89,0.00
1.22,1.11,1.59,1.24,1.56,1.33,1.88,1.29,15.56,10.56,13.29,13.29,4.06,3.82,4.22,3.44,2.00
1.44,1.00,1.24,1.35,1.33,1.00,1.53,1.41,18.56,9.50,15.71,15.71,5.35,3.76,5.78,3.00,2.00
2.13,1.11,1.41,1.71,2.00,1.00,1.35,1.59,12.75,10.33,11.24,11.24,3.59,3.94,3.88,3.11,0.00
2.00,0.78,1.59,1.06,1.50,1.56,1.35,1.47,14.00,11.67,13.00,13.00,4.65,4.29,4.88,4.78,0.00
2.00,1.63,1.35,1.65,1.60,1.25,1.24,1.29,18.30,14.13,15.94,15.94,4.71,5.24,5.30,5.13,2.00
3.00,0.89,2.82,1.65,2.50,0.89,2.29,1.41,19.75,8.11,18.65,18.65,7.00,3.53,8.25,1.78,0.00
2.38,0.89,1.81,1.56,2.25,0.56,1.69,1.44,13.63,14.33,11.94,11.94,4.06,5.00,4.88,4.11,0.00
1.38,0.78,1.13,1.31,1.38,0.78,1.56,1.38,10.88,9.89,11.00,11.00,4.13,3.63,3.75,3.33,0.00
2.78,2.00,2.50,1.69,3.11,2.25,2.44,1.94,17.11,10.75,15.19,15.19,5.56,3.94,6.44,3.88,0.00
1.67,0.63,1.56,0.63,1.33,0.88,1.31,0.69,15.22,8.25,14.81,14.81,5.06,2.75,5.33,2.75,0.00
2.25,1.00,1.69,0.94,2.13,0.78,1.63,0.94,16.13,11.11,13.19,13.19,4.50,3.69,6.00,3.11,0.00
1.67,1.22,1.25,1.50,1.78,1.22,1.38,1.31,13.33,12.11,11.75,11.75,3.81,4.75,4.44,4.44,0.00
1.38,1.13,1.13,1.19,1.25,1.50,1.25,1.38,11.25,7.88,10.56,10.56,3.94,3.25,4.25,2.88,1.00
2.50,1.00,1.75,1.31,2.00,1.75,1.50,1.56,16.00,12.50,12.38,12.38,3.75,5.31,5.50,4.88,0.00
1.00,0.43,0.75,1.44,1.11,0.71,0.88,1.31,12.33,12.57,11.69,11.69,3.50,4.31,3.33,3.86,2.00
0.50,2.67,0.31,2.81,0.63,2.11,0.56,2.25,10.38,17.67,9.31,9.31,2.88,6.88,3.00,5.89,2.00
2.29,1.13,1.73,1.00,2.29,0.88,1.67,1.00,13.71,11.38,11.87,11.87,4.00,3.87,4.86,3.38,0.00
1.13,0.71,0.80,0.67,1.13,0.86,0.87,0.67,12.38,8.43,11.67,11.67,3.47,2.73,3.25,2.71,0.00
0.57,1.38,0.33,1.60,0.71,1.25,0.60,1.33,11.14,12.75,9.60,9.60,2.93,4.93,3.14,4.75,2.00
1.50,1.14,1.47,1.20,1.25,1.71,1.27,1.47,14.63,7.43,14.47,14.47,5.07,3.27,5.38,2.86,1.00
2.14,2.63,1.60,2.80,2.00,2.00,1.53,2.20,16.14,18.38,13.00,13.00,4.40,7.07,6.00,6.13,0.00
2.43,0.88,1.67,1.40,1.71,0.88,1.33,1.47,16.57,10.00,12.40,12.40,3.53,3.80,5.29,3.63,0.00
1.14,1.00,1.00,1.67,1.29,0.63,1.53,1.53,11.00,14.50,11.07,11.07,4.13,5.27,3.71,4.50,0.00
2.75,1.14,2.47,1.40,3.00,1.57,2.33,1.47,16.88,12.00,14.93,14.93,5.33,5.27,6.13,4.71,1.00
1.50,2.29,1.13,1.80,1.75,2.14,1.33,1.87,13.63,11.00,11.80,11.80,3.80,4.00,4.50,4.00,1.00
2.22,0.88,1.33,1.13,1.78,1.25,1.27,1.33,18.00,9.88,15.73,15.73,4.27,3.93,4.67,3.63,0.00
0.63,1.00,0.71,1.21,0.50,1.29,0.57,1.36,12.63,10.00,10.36,10.36,2.50,4.14,2.75,4.00,1.00
1.25,0.71,1.21,1.14,1.25,0.86,1.43,1.36,11.38,9.71,9.79,9.79,3.21,3.79,3.63,3.00,1.00
0.86,0.88,1.07,0.86,1.14,1.75,1.00,1.36,11.71,11.13,11.00,11.00,4.00,3.93,4.43,4.50,0.00
2.43,0.13,1.79,0.36,2.57,0.50,1.64,0.64,18.57,8.25,16.79,16.79,5.14,3.00,6.14,2.75,0.00
1.38,0.43,1.86,0.64,1.63,0.57,1.93,0.64,15.63,10.86,13.36,13.36,4.07,3.21,4.00,3.71,0.00
1.86,1.00,1.50,1.57,1.43,1.00,1.36,1.21,13.86,8.75,13.50,13.50,4.93,3.14,5.14,2.00,2.00
2.13,1.13,1.21,1.50,1.75,1.13,1.21,1.50,18.13,10.25,15.64,15.64,4.36,4.57,4.88,3.00,0.00
1.63,1.43,1.43,1.50,1.38,1.29,1.50,1.21,18.00,14.29,15.93,15.93,5.50,4.79,5.75,4.71,2.00
3.00,1.25,3.00,1.64,2.43,1.13,2.29,1.64,19.14,10.25,19.21,19.21,7.29,4.00,8.14,3.25,0.00
2.00,2.14,1.50,2.57,2.14,1.57,1.57,2.43,13.00,12.71,11.93,11.93,4.07,5.50,4.00,4.43,1.00
2.17,3.00,1.62,3.00,1.50,2.14,1.38,2.23,14.00,19.29,13.54,13.54,5.00,6.92,5.33,6.43,2.00
0.57,1.17,0.69,1.23,0.57,1.67,0.62,1.46,11.43,7.67,9.54,9.54,2.38,3.00,2.57,2.67,2.00
1.14,1.00,1.77,1.54,1.57,1.00,1.92,1.62,15.43,10.86,13.08,13.08,3.92,4.23,3.71,4.14,1.00
0.86,1.17,0.69,1.38,0.71,1.33,0.69,1.23,10.71,15.00,11.00,11.00,3.46,4.69,2.71,4.50,2.00
0.67,1.43,0.38,1.77,0.83,1.14,0.69,1.69,11.33,11.14,9.92,9.92,3.08,4.15,3.33,3.43,2.00
3.00,1.00,2.69,0.92,3.29,2.00,2.54,1.46,17.86,11.43,15.62,15.62,5.46,4.08,6.57,4.86,0.00
1.57,1.29,1.15,0.92,1.86,0.86,1.38,0.92,13.71,10.29,11.85,11.85,3.77,3.92,4.57,3.57,2.00
1.43,1.14,1.23,1.75,1.43,1.29,1.46,1.50,11.57,13.14,11.23,12.17,4.46,5.33,4.29,4.71,0.00
3.00,1.14,3.00,1.69,2.33,0.71,2.25,1.38,19.17,15.00,19.58,18.08,7.17,5.00,7.50,4.14,0.00
2.00,1.17,1.08,1.54,1.86,1.67,1.23,1.62,17.71,13.17,15.23,15.23,4.38,5.46,5.00,5.17,0.00
2.33,1.29,1.46,1.62,1.50,1.29,1.08,1.62,16.00,10.57,12.15,12.15,3.08,4.77,4.67,3.14,1.00
0.50,1.00,0.75,1.08,1.00,1.50,0.83,1.50,11.67,10.83,11.33,11.33,4.00,4.67,4.33,4.67,2.00
2.17,0.50,1.58,0.75,2.33,0.67,1.67,0.75,13.00,11.33,12.33,12.33,4.25,3.50,4.33,4.33,0.00
0.83,0.71,1.00,1.50,0.83,0.71,1.58,1.08,10.83,8.86,11.08,11.08,4.25,2.83,3.17,1.71,1.00
1.29,0.00,1.08,0.92,1.29,0.50,1.33,1.08,10.86,12.33,9.42,9.42,2.83,4.33,3.29,3.67,0.00
1.86,2.50,1.67,1.83,1.57,2.33,1.67,2.00,18.14,10.33,15.50,15.50,5.17,3.83,5.71,4.17,2.00
2.00,0.14,1.67,0.42,2.00,0.57,1.67,0.67,17.83,8.71,14.33,14.33,4.92,2.83,6.67,2.86,0.00
2.17,0.67,1.67,1.25,2.33,0.83,1.67,1.42,13.50,9.67,12.50,12.50,4.17,3.50,5.00,2.83,0.00
1.57,2.33,1.25,2.67,1.14,1.67,1.08,2.50,12.71,13.00,13.67,13.67,4.50,5.17,4.86,4.17,1.00
0.60,1.33,0.82,1.91,1.00,1.50,0.82,1.64,11.00,13.83,11.00,11.00,3.82,5.45,4.00,4.83,2.00
0.80,0.67,0.45,1.55,0.80,0.67,0.73,1.09,10.60,8.67,10.09,10.09,3.00,2.91,2.80,1.67,0.00
2.17,0.83,1.82,0.75,1.67,0.67,1.73,0.58,16.67,7.33,14.45,13.25,5.18,2.08,5.83,2.17,0.00
1.80,0.80,1.55,0.91,2.00,1.40,1.64,1.27,15.60,7.40,13.00,13.00,4.27,2.73,5.60,2.20,0.00
2.00,1.17,1.55,1.00,2.40,2.33,1.64,1.64,13.80,11.33,12.55,12.55,4.18,4.36,5.20,5.33,0.00
2.33,0.00,1.83,1.00,2.17,0.40,1.50,1.09,17.83,11.40,16.67,18.18,5.08,4.18,6.00,3.20,0.00
1.17,0.80,1.73,1.27,1.67,1.00,1.82,1.18,13.83,15.00,12.55,12.55,3.73,4.64,3.50,4.00,2.00
3.00,0.60,2.82,0.91,3.33,0.80,2.73,1.18,17.50,10.60,16.00,16.00,5.55,4.45,6.17,4.20,0.00
3.00,1.00,3.00,1.45,1.60,1.00,1.91,1.55,20.00,11.67,20.00,20.00,7.00,4.00,7.20,4.17,0.00
1.83,0.60,1.36,0.82,2.00,0.60,1.55,0.73,13.67,12.00,11.82,11.82,3.45,3.36,4.17,4.20,0.00
0.80,3.00,1.10,3.00,0.80,2.17,1.70,2.00,11.00,20.00,11.00,11.00,4.30,7.00,3.20,6.83,2.00
0.67,0.17,0.82,0.20,0.50,0.67,0.55,0.70,10.67,9.67,8.45,9.30,2.00,3.00,2.00,3.17,0.00
1.00,2.40,1.00,1.90,1.17,2.00,1.40,1.90,11.00,11.00,9.10,9.10,2.80,3.90,3.17,4.00,2.00
1.67,0.80,1.10,1.20,1.33,1.00,1.00,1.50,13.83,9.60,14.50,14.50,4.70,3.40,5.17,2.60,0.00
1.83,1.17,1.10,1.40,1.67,1.00,1.20,1.30,18.67,11.50,16.00,16.00,4.60,4.00,5.00,3.33,1.00
2.00,1.33,1.60,1.40,2.20,1.33,1.70,1.60,11.40,10.83,12.50,12.50,4.30,4.40,3.80,3.17,0.00
2.60,1.00,1.70,0.90,1.60,0.67,1.20,0.90,14.80,11.00,11.90,11.90,3.20,4.20,4.40,3.67,0.00
2.60,2.60,1.80,2.80,1.80,2.00,1.50,2.50,16.00,14.20,15.10,15.10,5.60,5.10,6.20,4.80,1.00
1.00,1.33,0.90,1.73,0.83,0.83,0.80,1.45,10.00,15.50,10.60,9.64,3.30,5.45,2.67,4.17,2.00
1.17,1.40,1.00,1.70,1.50,1.80,1.30,1.70,12.33,11.80,12.20,12.20,4.60,5.40,4.67,4.40,0.00
0.75,1.20,1.00,1.44,1.25,1.20,1.00,1.67,12.25,13.60,11.44,11.44,4.22,4.33,5.00,4.80,0.00
1.40,1.00,1.78,0.60,1.80,0.60,1.78,0.50,13.20,5.80,12.33,11.10,3.89,1.80,3.80,2.00,2.00
0.25,1.40,0.22,1.22,0.75,2.60,0.78,1.89,9.50,11.00,10.00,10.00,2.89,4.78,2.75,5.40,2.00
2.00,0.75,1.89,1.00,1.60,0.75,1.78,0.78,16.20,11.50,14.00,14.00,5.78,3.11,6.40,4.25,0.00
3.00,0.75,3.00,0.78,1.75,1.00,2.11,1.22,20.00,12.00,19.67,19.67,7.00,4.56,7.25,4.50,0.00
1.50,1.00,1.56,1.89,2.00,1.20,1.78,1.67,16.50,14.20,12.67,12.67,4.67,5.89,6.25,5.00,0.00
1.60,0.00,1.33,1.11,2.00,0.50,1.44,1.22,13.60,12.00,12.22,12.22,3.44,4.78,4.20,4.00,0.00
1.75,0.25,1.44,0.89,1.75,0.50,1.33,0.78,13.25,15.50,12.56,12.56,4.00,4.56,5.00,4.00,0.00
2.20,0.80,1.60,1.56,2.20,0.80,1.40,1.11,19.20,9.00,16.90,18.78,5.30,2.89,7.00,2.00,1.00
3.00,1.00,3.00,1.11,3.00,1.75,2.78,1.44,17.20,6.25,16.33,16.33,5.33,2.67,5.40,2.25,0.00
1.00,1.60,1.00,1.38,1.00,1.60,1.88,1.63,13.75,9.60,12.75,12.75,4.75,4.38,4.00,3.40,1.00
1.20,1.75,1.25,1.75,1.20,2.00,1.38,1.63,9.60,11.25,8.75,8.75,2.75,5.50,3.00,5.00,2.00
1.75,0.20,1.63,0.25,2.25,0.80,1.88,0.88,11.75,10.40,13.25,13.25,4.63,3.13,3.75,3.00,0.00
3.00,1.00,2.13,1.67,2.25,0.60,1.63,1.44,18.25,14.60,17.13,15.22,6.25,5.22,7.00,3.60,0.00
1.20,3.00,1.13,3.00,0.80,2.50,0.75,2.63,9.60,15.25,11.00,11.00,3.13,5.38,2.20,5.25,2.00
0.20,1.00,0.33,1.13,0.40,0.75,0.33,1.38,10.20,10.50,8.44,9.50,1.67,3.38,1.60,2.50,2.00
1.50,0.75,1.43,1.63,1.25,0.75,1.43,1.13,8.75,10.75,8.14,7.13,2.86,3.13,3.25,2.25,0.00
1.75,0.25,2.00,0.29,2.00,0.25,1.88,0.57,12.75,9.25,12.00,13.71,4.00,2.86,4.00,2.50,0.00
1.50,3.00,1.29,3.00,0.75,2.40,0.71,2.00,10.25,19.40,11.57,10.13,3.29,6.75,2.25,6.80,2.00
1.75,1.00,1.57,1.00,1.25,2.75,1.57,1.86,15.75,11.75,14.14,14.14,5.71,5.00,6.00,5.50,0.00
1.40,1.00,1.00,0.88,1.00,1.00,0.88,1.25,13.40,15.33,14.38,14.38,4.63,5.00,5.00,5.67,0.00
1.33,1.25,1.43,2.00,1.67,1.00,1.57,1.57,10.33,16.00,12.86,12.86,4.57,6.00,3.33,5.50,2.00
0.00,1.25,0.75,1.88,1.00,0.75,0.88,1.63,11.00,14.25,10.88,10.88,3.88,5.25,4.33,3.25,2.00
3.00,0.00,3.00,1.25,2.75,0.33,2.71,1.25,15.75,10.67,15.43,13.50,5.29,4.75,5.50,3.67,0.00
1.33,1.75,1.25,1.43,1.67,1.50,1.25,1.57,13.00,9.00,12.38,14.14,4.13,4.43,5.67,3.25,0.00
0.80,1.00,1.00,1.50,1.40,0.67,1.29,0.83,13.60,13.33,13.43,15.67,4.57,3.83,4.60,4.67,0.00
2.50,0.33,1.86,0.71,1.50,0.67,1.29,0.71,15.25,16.00,13.71,13.71,3.43,4.57,4.00,4.00,0.00
2.50,0.50,1.71,0.38,2.50,0.25,1.57,0.38,18.50,6.25,15.71,13.75,5.57,1.75,7.25,1.75,0.00
3.00,1.20,3.00,0.86,1.33,0.80,2.00,0.86,20.33,10.80,19.14,19.14,6.71,4.00,6.67,3.60,0.00
2.00,2.25,1.43,1.86,1.80,1.75,1.29,1.86,20.40,11.25,17.57,17.57,5.14,3.86,5.40,4.00,0.00
1.25,3.00,0.86,3.00,2.00,2.67,1.43,2.83,14.00,15.00,12.86,15.00,3.57,5.67,4.25,5.00,2.00
1.00,1.33,1.17,1.17,0.67,1.67,2.17,1.33,15.00,7.33,14.00,14.00,5.50,3.17,4.33,2.33,2.00
0.33,1.33,0.33,1.33,1.00,2.00,0.67,1.50,10.00,12.00,8.67,8.67,2.50,6.00,3.33,5.33,2.00
1.00,3.00,1.67,2.17,1.67,2.33,1.83,2.17,15.67,13.33,13.33,13.33,5.00,4.33,6.00,5.00,2.00
3.00,1.20,1.83,1.00,2.33,1.00,1.50,1.14,19.33,12.00,17.50,15.00,5.50,4.14,6.67,3.20,0.00
2.33,1.50,1.50,1.67,2.33,1.50,1.33,1.83,19.00,14.75,15.50,15.50,5.83,5.17,8.33,5.50,0.00
1.33,2.33,1.00,2.00,1.00,2.00,1.00,2.20,15.00,11.00,12.60,12.60,5.40,5.00,6.67,4.00,2.00
0.25,1.33,0.43,1.40,0.50,3.67,0.43,2.40,9.25,13.00,8.43,11.80,1.86,6.20,1.75,6.67,2.00
1.00,1.50,0.80,1.00,1.00,1.00,1.00,1.00,10.00,12.50,8.20,6.83,3.20,4.50,4.00,4.25,0.00
2.00,0.67,1.80,1.60,1.00,0.67,0.80,1.60,12.00,15.67,11.80,11.80,3.20,5.40,3.00,4.33,0.00
1.00,2.00,0.83,2.00,0.75,2.00,0.67,2.20,14.75,16.67,14.83,17.80,4.67,5.80,5.00,6.67,0.00
1.67,1.00,1.00,1.67,2.33,1.00,1.50,1.17,15.00,11.67,13.17,13.17,4.00,3.67,5.33,2.67,0.00
1.75,0.33,1.17,0.40,1.75,0.33,1.17,0.60,19.00,7.33,16.17,19.40,4.33,2.20,4.25,1.67,0.00
1.33,3.00,2.00,3.00,2.00,2.50,2.40,2.00,10.67,18.25,13.80,11.50,5.00,6.00,3.67,6.75,2.00
3.00,0.67,3.00,1.20,3.00,0.33,2.80,1.20,16.33,12.00,15.40,15.40,5.80,5.60,6.33,3.33,0.00
0.25,1.50,0.67,1.17,0.75,1.25,0.83,1.33,13.25,13.25,13.17,13.17,4.17,4.50,4.00,3.50,2.00
0.33,2.00,0.50,1.20,0.67,1.33,0.50,1.20,9.67,12.00,8.50,10.20,2.00,5.00,2.00,5.00,2.00
1.50,1.50,1.00,1.50,0.50,0.50,1.75,0.50,17.50,11.50,15.00,15.00,6.00,2.75,5.50,3.50,2.00
0.50,1.50,0.50,0.80,1.00,1.00,0.75,1.00,10.00,13.00,8.75,7.00,2.50,4.40,3.00,4.50,2.00
3.00,0.00,3.00,0.80,1.00,0.00,1.80,0.60,17.00,10.50,17.40,17.40,6.00,4.20,4.50,4.50,0.00
1.50,0.33,1.75,0.60,2.50,0.67,2.50,1.20,14.50,11.33,12.75,10.20,5.00,3.60,6.50,2.67,0.00
2.00,0.50,2.50,1.25,2.50,1.00,2.50,1.25,14.00,9.00,15.00,15.00,6.25,5.50,4.50,3.50,1.00
2.33,0.67,2.00,0.60,1.33,0.33,1.20,0.60,17.33,7.33,14.00,14.00,4.00,2.00,4.67,2.00,1.00
0.50,3.00,0.80,2.50,1.50,3.00,1.40,2.75,16.00,18.50,13.20,16.50,4.20,5.50,6.50,7.00,2.00
0.00,3.00,0.75,3.00,1.00,2.50,1.00,3.00,12.50,14.00,12.75,12.75,5.50,5.50,5.00,5.00,2.00
3.00,0.50,2.00,0.40,3.00,0.50,2.00,0.40,17.50,15.00,18.50,14.80,6.50,4.80,7.00,4.00,0.00
2.00,0.50,1.50,0.25,2.50,1.00,1.50,0.75,20.50,5.50,17.75,17.75,6.25,2.25,9.00,2.00,1.00
1.33,0.50,1.00,0.50,1.00,0.50,0.75,0.75,18.00,8.50,16.25,16.25,4.25,2.50,4.00,3.00,0.00
0.33,0.50,0.25,0.75,1.00,0.50,0.75,1.25,14.00,9.50,14.25,14.25,4.00,3.75,4.33,2.50,1.00
0.33,3.00,0.50,3.00,0.33,2.33,0.50,2.00,15.00,17.67,17.00,17.00,5.75,6.50,5.33,7.00,2.00
3.00,1.00,2.25,1.00,2.00,1.33,1.50,1.25,15.00,11.33,12.00,12.00,3.75,4.00,4.50,2.67,0.00
3.00,0.50,3.00,0.67,3.50,0.50,3.33,0.67,17.00,7.50,15.00,15.00,5.33,2.33,6.00,2.00,0.00
0.50,2.00,0.67,1.33,1.00,2.50,1.00,2.33,7.50,11.00,8.67,8.67,3.00,4.67,2.00,3.50,1.00
2.00,1.00,2.33,1.67,2.50,1.00,2.67,1.33,12.50,19.50,15.33,15.33,5.00,6.00,4.00,6.00,1.00
1.50,1.50,1.00,1.00,0.50,1.00,0.33,1.33,12.00,13.00,10.00,10.00,2.00,6.67,2.00,6.00,0.00
1.00,0.50,0.67,1.33,2.00,3.00,1.33,2.33,16.00,12.50,14.33,14.33,3.67,6.33,5.00,6.50,1.00
0.50,3.00,0.33,3.00,1.00,2.50,0.67,2.67,12.50,16.00,12.00,12.00,4.00,7.33,3.50,8.00,2.00
0.00,1.50,0.00,2.00,1.00,1.00,0.67,1.00,13.50,9.00,14.00,14.00,4.00,4.00,4.50,3.00,2.00
0.00,3.00,0.00,3.00,0.50,2.50,0.33,2.00,8.00,22.50,7.00,7.00,2.00,7.00,2.50,8.00,2.00
2.00,1.50,1.33,1.33,1.50,1.50,1.00,1.33,16.50,11.50,13.33,13.33,5.67,5.00,7.50,3.50,0.00
0.50,1.00,0.67,1.67,0.50,0.50,0.67,1.33,16.50,15.00,18.67,18.67,7.33,5.33,7.50,3.50,1.00
3.00,0.00,2.00,0.00,2.00,0.00,2.00,0.50,20.00,5.00,18.50,18.50,7.50,3.00,6.00,1.00,0.00
3.00,0.00,1.50,0.50,1.00,0.00,2.00,1.00,20.00,11.00,18.00,18.00,7.00,4.00,6.00,5.00,0.00
0.00,3.00,1.50,3.00,2.00,3.00,2.00,4.00,18.00,21.00,15.50,15.50,6.00,7.50,8.00,7.00,2.00
0.00,3.00,1.50,3.00,2.00,3.00,3.00,2.50,14.00,11.00,13.50,13.50,6.50,4.50,7.00,4.00,2.00
3.00,0.00,3.00,0.50,3.00,0.00,3.50,0.50,17.00,11.00,16.50,16.50,7.50,2.00,6.00,1.00,0.00
3.00,0.00,1.50,0.00,1.00,0.00,0.50,0.00,19.00,6.00,13.00,13.00,4.00,2.00,6.00,2.00,0.00
1.00,1.00,2.00,0.50,1.00,1.00,2.00,1.00,20.00,11.00,18.50,18.50,7.00,3.50,8.00,5.00,1.00
3.00,0.00,2.00,0.00,3.00,0.00,1.50,0.50,19.00,15.00,16.50,16.50,6.50,5.50,9.00,3.00,0.00
1.00,1.00,1.00,0.50,1.00,1.00,1.00,0.50,7.00,23.00,8.50,8.50,3.00,8.50,3.00,7.00,1.00
3.00,0.00,3.00,0.50,1.00,0.00,2.50,0.00,19.00,7.00,19.50,19.50,7.00,2.50,5.00,2.00,0.00
0.00,3.00,0.00,3.00,1.00,4.00,1.00,4.00,6.00,20.00,6.00,6.00,2.00,9.00,2.00,9.00,2.00
0.00,3.00,0.00,3.00,1.00,3.00,1.00,3.00,14.00,17.00,14.00,14.00,5.00,6.00,5.00,6.00,2.00
3.00,0.00,3.00,0.00,5.00,3.00,5.00,3.00,17.00,16.00,17.00,17.00,8.00,8.00,8.00,8.00,0.00
0.00,3.00,0.00,3.00,0.00,4.00,0.00,4.00,16.00,13.00,16.00,16.00,2.00,6.00,2.00,6.00,2.00
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,9.00,14.00,9.00,9.00,3.00,4.00,3.00,4.00,1.00
3.00,0.00,3.00,0.00,2.00,0.00,2.00,0.00,13.00,7.00,13.00,13.00,5.00,2.00,5.00,2.00,0.00
0.00,3.00,0.00,3.00,0.00,2.00,0.00,2.00,26.00,13.00,26.00,26.00,10.00,4.00,10.00,4.00,2.00
1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,10.00,10.00,10.00,10.00,3.00,3.00,3.00,3.00,1.00
1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,11.00,17.00,11.00,11.00,3.00,9.00,3.00,9.00,1.00
0.00,3.00,0.00,3.00,1.00,4.00,1.00,4.00,17.00,16.00,17.00,17.00,8.00,9.00,8.00,9.00,2.00
