Home,Away,HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,O15HPG,O15APG,O25HPG,O25APG,HAD,H_Win,A_Win,FTG,O15,O25
Liverpool,Fulham,2.857142857,0.307692308,2.592592593,0.777777778,3.071428571,0.538461538,2.518518519,0.851851852,18.35714286,9.846153846,15.40740741,15.40740741,6.111111111,3.962962963,6.928571429,3.615384615,0.928571429,0.461538462,0.642857143,0.461538462,0,1,0,2,1,0
Man City,Man United,2.769230769,1.538461538,2.555555556,1.703703704,2.538461538,1.615384615,2.296296296,1.703703704,17.84615385,13,16.81481481,16.81481481,6.333333333,5.703703704,7,5,0.769230769,0.615384615,0.692307692,0.615384615,0,1,0,4,1,1
Brighton,Leicester,0.928571429,1.230769231,0.846153846,1.346153846,0.785714286,1.384615385,0.846153846,1.307692308,11.42857143,11.46153846,10.65384615,10.65384615,2.923076923,4.846153846,2.571428571,4.307692308,0.642857143,0.461538462,0.357142857,0.461538462,1,0,0,2,1,0
Everton,Cardiff,1.615384615,0.928571429,1.346153846,1,1.384615385,0.785714286,1.346153846,0.884615385,14.30769231,10.5,13.03846154,13.03846154,4.423076923,3.384615385,4.615384615,3.142857143,0.692307692,0.357142857,0.307692308,0.357142857,0,1,0,1,0,0
Fulham,Southampton,1.214285714,0.923076923,0.807692308,1.192307692,1.142857143,1.076923077,0.884615385,1.423076923,13.35714286,11.07692308,11.80769231,11.80769231,4,4.153846154,4.285714286,3.538461538,0.857142857,0.538461538,0.5,0.538461538,0,1,0,5,1,1
Man United,Crystal Palace,1.857142857,1.769230769,1.769230769,1.576923077,1.785714286,2,1.730769231,1.653846154,14.71428571,11.30769231,14.19230769,14.19230769,5.884615385,3.923076923,6.357142857,3.769230769,0.857142857,0.615384615,0.642857143,0.615384615,1,0,0,0,0,0
Tottenham,Chelsea,2.133333333,1.214285714,1.692307692,1.692307692,1.933333333,0.857142857,1.807692308,1.384615385,16.6,13.64285714,14.80769231,14.80769231,5,4.884615385,5.533333333,3.785714286,0.666666667,0.571428571,0.533333333,0.571428571,0,1,0,4,1,1
Watford,Liverpool,1.153846154,2.307692308,1.153846154,2.576923077,1.230769231,1.923076923,1.346153846,2.538461538,11.15384615,12.23076923,10.96153846,10.96153846,3.807692308,6.076923077,4.384615385,5.230769231,0.769230769,0.538461538,0.615384615,0.538461538,2,0,1,3,1,1
West Ham,Man City,1.846153846,2.357142857,1.538461538,2.538461538,1.846153846,2.071428571,1.461538462,2.269230769,13.23076923,15.85714286,11.57692308,11.57692308,4.153846154,6.384615385,4.769230769,5.714285714,0.923076923,0.571428571,0.615384615,0.571428571,2,0,1,4,1,1
Bournemouth,Arsenal,1.384615385,1.071428571,0.961538462,1.769230769,1.461538462,1.214285714,1.346153846,1.807692308,11.61538462,10.71428571,11.30769231,11.30769231,4.153846154,4.192307692,4.153846154,3.285714286,0.769230769,0.642857143,0.538461538,0.642857143,2,0,1,3,1,1
Wolves,Huddersfield,2,0.357142857,1.576923077,0.346153846,1.538461538,0.571428571,1.346153846,0.615384615,13.46153846,10.14285714,11.57692308,11.57692308,3.576923077,3.115384615,4.461538462,3.071428571,0.846153846,0.428571429,0.384615385,0.428571429,2,0,1,2,1,0
