Home,Away,HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,O15HPG,O15APG,O25HPG,O25APG,HAD,H_Win,A_Win,FTG,O15,O25
Tottenham,Bournemouth,1.916666667,0.636363636,1.45,0.95,1.833333333,1.363636364,1.5,1.45,16.91666667,11.45454545,15.2,15.2,4.7,4.6,5.25,4.545454545,0.666666667,0.636363636,0.5,0.636363636,0,1,0,5,1,1
Watford,Chelsea,1.2,1.272727273,1.15,1.75,1.2,0.727272727,1.35,1.4,11.2,13.72727273,10.9,10.9,3.75,5,4.1,4.090909091,0.7,0.454545455,0.5,0.454545455,2,0,1,3,1,1
Southampton,West Ham,1.363636364,0.909090909,1.2,1.4,1.636363636,0.818181818,1.3,1.35,12.36363636,10.54545455,10.9,10.9,3.75,3.8,4.454545455,3.545454545,1,0.363636364,0.727272727,0.363636364,2,0,1,3,1,1
Brighton,Everton,0.8,1.1,0.736842105,1.421052632,0.5,1.1,0.736842105,1.210526316,11.9,12.2,10.42105263,10.42105263,2.789473684,4.473684211,2.5,4.4,0.5,0.4,0.3,0.4,0,1,0,1,0,0
Fulham,Huddersfield,1.2,0.2,0.789473684,0.315789474,1.1,0.4,0.894736842,0.526315789,12.5,8.9,11.68421053,11.68421053,3.631578947,2.894736842,3.5,2.9,0.8,0.4,0.6,0.4,0,1,0,1,0,0
Leicester,Cardiff,1.3,1.2,1.263157895,1,1.2,0.8,1.421052632,0.842105263,18.3,11.2,15.31578947,15.31578947,5.368421053,3.421052632,5.9,3.1,0.6,0.3,0.5,0.3,2,0,1,1,0,0
Liverpool,Arsenal,2.8,1,2.421052632,1.684210526,3.3,1,2.421052632,1.684210526,16.9,10.1,14.47368421,14.47368421,5.631578947,4.105263158,6.8,3,1,0.6,0.7,0.6,0,1,0,6,1,1
Tottenham,Wolves,1.818181818,1.1,1.368421053,1.631578947,1.545454545,1.1,1.315789474,1.421052632,17.54545455,8.4,15.47368421,15.47368421,4.578947368,3.421052632,5.090909091,2,0.636363636,0.5,0.454545455,0.5,2,0,1,4,1,1
Watford,Newcastle,1.333333333,1,1.210526316,1.473684211,1.222222222,1.1,1.368421053,1.473684211,11.33333333,9.9,10.94736842,10.94736842,3.842105263,4.157894737,4.333333333,2.8,0.666666667,0.3,0.444444444,0.3,1,0,0,2,1,0
Burnley,West Ham,1.6,0.7,1.473684211,1.315789474,1.4,0.7,1.473684211,1.315789474,11.9,10,10.42105263,10.42105263,3.421052632,3.736842105,3.4,3.4,0.9,0.3,0.5,0.3,0,1,0,2,1,0
Crystal Palace,Chelsea,1.1,1.1,1.578947368,1.684210526,1.4,0.6,1.789473684,1.368421053,14.4,14.1,13,13,3.842105263,5.052631579,3.8,4.1,0.8,0.4,0.5,0.4,2,0,1,1,0,0
Man United,Bournemouth,1.8,0.7,1.789473684,1,1.6,1.5,1.473684211,1.526315789,14.8,11.2,14.57894737,14.57894737,5.473684211,4.631578947,5.6,4.6,0.9,0.6,0.6,0.6,0,1,0,5,1,1
Southampton,Man City,1.5,2.7,1.263157895,2.842105263,1.7,2.2,1.315789474,2.315789474,12.5,17.3,10.89473684,10.89473684,3.684210526,6.789473684,4.4,5.9,1,0.5,0.7,0.5,2,0,1,4,1,1
Arsenal,Fulham,2.444444444,0.333333333,1.777777778,0.666666667,2.444444444,0.666666667,1.722222222,0.888888889,13.88888889,10.77777778,12.11111111,12.11111111,4.222222222,3.555555556,5.333333333,3.777777778,1,0.555555556,0.444444444,0.555555556,0,1,0,5,1,1
Cardiff,Tottenham,0.777777778,0.75,0.888888889,1.444444444,0.888888889,1,0.833333333,1.333333333,10.11111111,12.625,10.61111111,10.61111111,3.444444444,4.666666667,3.777777778,3.875,0.888888889,0.625,0.555555556,0.625,2,0,1,3,1,1
Everton,Leicester,1.777777778,1.222222222,1.5,1.333333333,1.333333333,1.666666667,1.277777778,1.5,14.33333333,12,13.22222222,13.22222222,4.5,5.277777778,4.555555556,4.777777778,0.666666667,0.666666667,0.222222222,0.666666667,2,0,1,1,0,0
Bournemouth,Watford,1.333333333,1.1,1.055555556,1.222222222,1.555555556,1.5,1.555555556,1.388888889,12.44444444,10.6,12.05555556,12.05555556,4.722222222,3.777777778,4.666666667,3.4,0.666666667,0.9,0.444444444,0.9,1,0,0,6,1,1
Chelsea,Southampton,2.333333333,1,1.611111111,1.333333333,2.222222222,0.888888889,1.388888889,1.333333333,17.44444444,9.111111111,15.88888889,15.88888889,5.111111111,3.666666667,6.111111111,2.888888889,0.888888889,0.444444444,0.555555556,0.444444444,1,0,0,0,0,0
Huddersfield,Burnley,0.444444444,1.333333333,0.333333333,1.388888889,0.666666667,1.555555556,0.555555556,1.444444444,10.22222222,8.777777778,9.555555556,9.555555556,2.777777778,3.333333333,2.888888889,3.444444444,0.777777778,0.666666667,0.555555556,0.666666667,2,0,1,3,1,1
Newcastle,Man United,2,1.777777778,1.5,1.722222222,1.888888889,1.333333333,1.5,1.333333333,15.88888889,14.33333333,13,13,4.277777778,5.333333333,5.666666667,5.333333333,0.888888889,0.444444444,0.555555556,0.444444444,2,0,1,2,1,0
West Ham,Brighton,2,0.666666667,1.388888889,0.611111111,2,1,1.388888889,0.722222222,12.77777778,8.777777778,11.33333333,11.33333333,3.722222222,2.777777778,4.111111111,3.111111111,0.888888889,0.666666667,0.555555556,0.666666667,1,0,0,4,1,1
Wolves,Crystal Palace,2.222222222,2.111111111,1.555555556,1.666666667,1.777777778,2.222222222,1.333333333,1.888888889,15.22222222,11.44444444,11.66666667,11.66666667,3.388888889,4.055555556,5,3.888888889,0.777777778,0.555555556,0.444444444,0.555555556,2,0,1,2,1,0
Man City,Liverpool,3,2,2.833333333,2.388888889,2.444444444,1.444444444,2.277777778,2.277777778,18.55555556,11.77777778,18.11111111,18.11111111,6.833333333,5.388888889,7.777777778,4.333333333,0.666666667,0.444444444,0.555555556,0.444444444,0,1,0,3,1,1
Brighton,Liverpool,0.555555556,2.25,0.588235294,2.529411765,0.444444444,1.5,0.647058824,2.352941176,12,12.375,10.23529412,10.23529412,2.588235294,5.411764706,2.444444444,4.25,0.555555556,0.375,0.333333333,0.375,2,0,1,1,0,0
Burnley,Fulham,1.444444444,0.375,1.294117647,0.705882353,1.333333333,0.625,1.411764706,0.882352941,11.33333333,11,9.705882353,9.705882353,3.058823529,3.529411765,3.222222222,3.75,0.888888889,0.5,0.555555556,0.5,0,1,0,3,1,1
Cardiff,Huddersfield,0.875,0.222222222,0.941176471,0.352941176,1,0.444444444,0.882352941,0.529411765,10.625,8.888888889,10.88235294,10.88235294,3.470588235,2.823529412,3.875,2.666666667,0.875,0.444444444,0.5,0.444444444,1,0,0,0,0,0
Chelsea,Newcastle,2.5,1,1.647058824,1.588235294,2.5,1.111111111,1.470588235,1.588235294,17.5,10.11111111,15.82352941,15.82352941,5.058823529,4.352941176,6.125,2.888888889,1,0.333333333,0.625,0.333333333,0,1,0,3,1,1
Crystal Palace,Watford,1.222222222,1.111111111,1.588235294,1.235294118,1.555555556,1.333333333,1.882352941,1.294117647,15.55555556,10.55555556,13.29411765,13.29411765,4.058823529,3.823529412,4.222222222,3.444444444,0.888888889,0.888888889,0.555555556,0.888888889,2,0,1,3,1,1
Leicester,Southampton,1.444444444,1,1.235294118,1.352941176,1.333333333,1,1.529411765,1.411764706,18.55555556,9.5,15.70588235,15.70588235,5.352941176,3.764705882,5.777777778,3,0.666666667,0.5,0.555555556,0.5,2,0,1,3,1,1
West Ham,Arsenal,2.125,1.111111111,1.411764706,1.705882353,2,1,1.352941176,1.588235294,12.75,10.33333333,11.23529412,11.23529412,3.588235294,3.941176471,3.875,3.111111111,0.875,0.555555556,0.5,0.555555556,0,1,0,1,0,0
Everton,Bournemouth,2,0.777777778,1.588235294,1.058823529,1.5,1.555555556,1.352941176,1.470588235,14,11.66666667,13,13,4.647058824,4.294117647,4.875,4.777777778,0.75,0.555555556,0.25,0.555555556,0,1,0,2,1,0
Tottenham,Man United,2,1.625,1.352941176,1.647058824,1.6,1.25,1.235294118,1.294117647,18.3,14.125,15.94117647,15.94117647,4.705882353,5.235294118,5.3,5.125,0.6,0.5,0.4,0.5,2,0,1,1,0,0
Man City,Wolves,3,0.888888889,2.823529412,1.647058824,2.5,0.888888889,2.294117647,1.411764706,19.75,8.111111111,18.64705882,18.64705882,7,3.529411765,8.25,1.777777778,0.625,0.444444444,0.5,0.444444444,0,1,0,3,1,1
Arsenal,Chelsea,2.375,0.888888889,1.8125,1.5625,2.25,0.555555556,1.6875,1.4375,13.625,14.33333333,11.9375,11.9375,4.0625,5,4.875,4.111111111,1,0.444444444,0.375,0.444444444,0,1,0,2,1,0
Bournemouth,West Ham,1.375,0.777777778,1.125,1.3125,1.375,0.777777778,1.5625,1.375,10.875,9.888888889,11,11,4.125,3.625,3.75,3.333333333,0.625,0.333333333,0.375,0.333333333,0,1,0,2,1,0
Liverpool,Crystal Palace,2.777777778,2,2.5,1.6875,3.111111111,2.25,2.4375,1.9375,17.11111111,10.75,15.1875,15.1875,5.5625,3.9375,6.444444444,3.875,1,0.625,0.666666667,0.625,0,1,0,7,1,1
Man United,Brighton,1.666666667,0.625,1.5625,0.625,1.333333333,0.875,1.3125,0.6875,15.22222222,8.25,14.8125,14.8125,5.0625,2.75,5.333333333,2.75,0.888888889,0.625,0.555555556,0.625,0,1,0,3,1,1
Newcastle,Cardiff,2.25,1,1.6875,0.9375,2.125,0.777777778,1.625,0.9375,16.125,11.11111111,13.1875,13.1875,4.5,3.6875,6,3.111111111,0.875,0.333333333,0.625,0.333333333,0,1,0,3,1,1
Southampton,Everton,1.666666667,1.222222222,1.25,1.5,1.777777778,1.222222222,1.375,1.3125,13.33333333,12.11111111,11.75,11.75,3.8125,4.75,4.444444444,4.444444444,1,0.444444444,0.666666667,0.444444444,0,1,0,3,1,1
Watford,Burnley,1.375,1.125,1.125,1.1875,1.25,1.5,1.25,1.375,11.25,7.875,10.5625,10.5625,3.9375,3.25,4.25,2.875,0.625,0.625,0.5,0.625,1,0,0,0,0,0
Wolves,Leicester,2.5,1,1.75,1.3125,2,1.75,1.5,1.5625,16,12.5,12.375,12.375,3.75,5.3125,5.5,4.875,0.75,0.75,0.5,0.75,0,1,0,7,1,1
Fulham,Tottenham,1,0.428571429,0.75,1.4375,1.111111111,0.714285714,0.875,1.3125,12.33333333,12.57142857,11.6875,11.6875,3.5,4.3125,3.333333333,3.857142857,0.888888889,0.571428571,0.666666667,0.571428571,2,0,1,3,1,1
Huddersfield,Man City,0.5,2.666666667,0.3125,2.8125,0.625,2.111111111,0.5625,2.25,10.375,17.66666667,9.3125,9.3125,2.875,6.875,3,5.888888889,0.75,0.444444444,0.5,0.444444444,2,0,1,3,1,1
Arsenal,Cardiff,2.285714286,1.125,1.733333333,1,2.285714286,0.875,1.666666667,1,13.71428571,11.375,11.86666667,11.86666667,4,3.866666667,4.857142857,3.375,1,0.25,0.428571429,0.25,0,1,0,3,1,1
Fulham,Brighton,1.125,0.714285714,0.8,0.666666667,1.125,0.857142857,0.866666667,0.666666667,12.375,8.428571429,11.66666667,11.66666667,3.466666667,2.733333333,3.25,2.714285714,0.875,0.571428571,0.625,0.571428571,0,1,0,6,1,1
Huddersfield,Everton,0.571428571,1.375,0.333333333,1.6,0.714285714,1.25,0.6,1.333333333,11.14285714,12.75,9.6,9.6,2.933333333,4.933333333,3.142857143,4.75,0.714285714,0.375,0.428571429,0.375,2,0,1,1,0,0
Man United,Burnley,1.5,1.142857143,1.466666667,1.2,1.25,1.714285714,1.266666667,1.466666667,14.625,7.428571429,14.46666667,14.46666667,5.066666667,3.266666667,5.375,2.857142857,0.875,0.714285714,0.5,0.714285714,1,0,0,4,1,1
Newcastle,Man City,2.142857143,2.625,1.6,2.8,2,2,1.533333333,2.2,16.14285714,18.375,13,13,4.4,7.066666667,6,6.125,0.857142857,0.375,0.571428571,0.375,0,1,0,3,1,1
Wolves,West Ham,2.428571429,0.875,1.666666667,1.4,1.714285714,0.875,1.333333333,1.466666667,16.57142857,10,12.4,12.4,3.533333333,3.8,5.285714286,3.625,0.714285714,0.375,0.428571429,0.375,0,1,0,3,1,1
Bournemouth,Chelsea,1.142857143,1,1,1.666666667,1.285714286,0.625,1.533333333,1.533333333,11,14.5,11.06666667,11.06666667,4.133333333,5.266666667,3.714285714,4.5,0.571428571,0.5,0.428571429,0.5,0,1,0,4,1,1
Liverpool,Leicester,2.75,1.142857143,2.466666667,1.4,3,1.571428571,2.333333333,1.466666667,16.875,12,14.93333333,14.93333333,5.333333333,5.266666667,6.125,4.714285714,1,0.714285714,0.625,0.714285714,1,0,0,2,1,0
Southampton,Crystal Palace,1.5,2.285714286,1.133333333,1.8,1.75,2.142857143,1.333333333,1.866666667,13.625,11,11.8,11.8,3.8,4,4.5,4,1,0.571428571,0.625,0.571428571,1,0,0,2,1,0
Tottenham,Watford,2.222222222,0.875,1.333333333,1.133333333,1.777777778,1.25,1.266666667,1.333333333,18,9.875,15.73333333,15.73333333,4.266666667,3.933333333,4.666666667,3.625,0.666666667,0.875,0.444444444,0.875,0,1,0,3,1,1
Brighton,Watford,0.625,1,0.714285714,1.214285714,0.5,1.285714286,0.571428571,1.357142857,12.625,10,10.35714286,10.35714286,2.5,4.142857143,2.75,4,0.625,0.857142857,0.375,0.857142857,1,0,0,0,0,0
Burnley,Southampton,1.25,0.714285714,1.214285714,1.142857143,1.25,0.857142857,1.428571429,1.357142857,11.375,9.714285714,9.785714286,9.785714286,3.214285714,3.785714286,3.625,3,0.875,0.428571429,0.5,0.428571429,1,0,0,2,1,0
Cardiff,Bournemouth,0.857142857,0.875,1.071428571,0.857142857,1.142857143,1.75,1,1.357142857,11.71428571,11.125,11,11,4,3.928571429,4.428571429,4.5,1,0.625,0.571428571,0.625,0,1,0,2,1,0
Chelsea,Huddersfield,2.428571429,0.125,1.785714286,0.357142857,2.571428571,0.5,1.642857143,0.642857143,18.57142857,8.25,16.78571429,16.78571429,5.142857143,3,6.142857143,2.75,1,0.5,0.571428571,0.5,0,1,0,5,1,1
Crystal Palace,Fulham,1.375,0.428571429,1.857142857,0.642857143,1.625,0.571428571,1.928571429,0.642857143,15.625,10.85714286,13.35714286,13.35714286,4.071428571,3.214285714,4,3.714285714,0.875,0.428571429,0.5,0.428571429,0,1,0,2,1,0
Everton,Wolves,1.857142857,1,1.5,1.571428571,1.428571429,1,1.357142857,1.214285714,13.85714286,8.75,13.5,13.5,4.928571429,3.142857143,5.142857143,2,0.714285714,0.375,0.285714286,0.375,2,0,1,4,1,1
Tottenham,Newcastle,2.125,1.125,1.214285714,1.5,1.75,1.125,1.214285714,1.5,18.125,10.25,15.64285714,15.64285714,4.357142857,4.571428571,4.875,3,0.625,0.25,0.375,0.25,0,1,0,1,0,0
Leicester,Man United,1.625,1.428571429,1.428571429,1.5,1.375,1.285714286,1.5,1.214285714,18,14.28571429,15.92857143,15.92857143,5.5,4.785714286,5.75,4.714285714,0.625,0.571428571,0.5,0.571428571,2,0,1,1,0,0
Man City,Arsenal,3,1.25,3,1.642857143,2.428571429,1.125,2.285714286,1.642857143,19.14285714,10.25,19.21428571,19.21428571,7.285714286,4,8.142857143,3.25,0.571428571,0.625,0.428571429,0.625,0,1,0,4,1,1
West Ham,Liverpool,2,2.142857143,1.5,2.571428571,2.142857143,1.571428571,1.571428571,2.428571429,13,12.71428571,11.92857143,11.92857143,4.071428571,5.5,4,4.428571429,1,0.428571429,0.571428571,0.428571429,1,0,0,2,1,0
Everton,Man City,2.166666667,3,1.615384615,3,1.5,2.142857143,1.384615385,2.230769231,14,19.28571429,13.53846154,13.53846154,5,6.923076923,5.333333333,6.428571429,0.666666667,0.285714286,0.166666667,0.285714286,2,0,1,2,1,0
Brighton,Burnley,0.571428571,1.166666667,0.692307692,1.230769231,0.571428571,1.666666667,0.615384615,1.461538462,11.42857143,7.666666667,9.538461538,9.538461538,2.384615385,3,2.571428571,2.666666667,0.714285714,0.666666667,0.428571429,0.666666667,2,0,1,4,1,1
Crystal Palace,West Ham,1.142857143,1,1.769230769,1.538461538,1.571428571,1,1.923076923,1.615384615,15.42857143,10.85714286,13.07692308,13.07692308,3.923076923,4.230769231,3.714285714,4.142857143,0.857142857,0.285714286,0.571428571,0.285714286,1,0,0,2,1,0
Fulham,Man United,0.857142857,1.166666667,0.692307692,1.384615385,0.714285714,1.333333333,0.692307692,1.230769231,10.71428571,15,11,11,3.461538462,4.692307692,2.714285714,4.5,0.857142857,0.666666667,0.571428571,0.666666667,2,0,1,3,1,1
Huddersfield,Arsenal,0.666666667,1.428571429,0.384615385,1.769230769,0.833333333,1.142857143,0.692307692,1.692307692,11.33333333,11.14285714,9.923076923,9.923076923,3.076923077,4.153846154,3.333333333,3.428571429,0.833333333,0.571428571,0.5,0.571428571,2,0,1,3,1,1
Liverpool,Bournemouth,3,1,2.692307692,0.923076923,3.285714286,2,2.538461538,1.461538462,17.85714286,11.42857143,15.61538462,15.61538462,5.461538462,4.076923077,6.571428571,4.857142857,1,0.714285714,0.714285714,0.714285714,0,1,0,3,1,1
Southampton,Cardiff,1.571428571,1.285714286,1.153846154,0.923076923,1.857142857,0.857142857,1.384615385,0.923076923,13.71428571,10.28571429,11.84615385,11.84615385,3.769230769,3.923076923,4.571428571,3.571428571,1,0.142857143,0.714285714,0.142857143,2,0,1,3,1,1
Watford,Everton,1.428571429,1.142857143,1.230769231,1.75,1.428571429,1.285714286,1.461538462,1.5,11.57142857,13.14285714,11.23076923,12.16666667,4.461538462,5.333333333,4.285714286,4.714285714,0.714285714,0.428571429,0.571428571,0.428571429,0,1,0,1,0,0
Man City,Chelsea,3,1.142857143,3,1.692307692,2.333333333,0.714285714,2.25,1.384615385,19.16666667,15,19.58333333,18.07692308,7.166666667,5,7.5,4.142857143,0.5,0.428571429,0.333333333,0.428571429,0,1,0,6,1,1
Tottenham,Leicester,2,1.166666667,1.076923077,1.538461538,1.857142857,1.666666667,1.230769231,1.615384615,17.71428571,13.16666667,15.23076923,15.23076923,4.384615385,5.461538462,5,5.166666667,0.714285714,0.833333333,0.428571429,0.833333333,0,1,0,4,1,1
Wolves,Newcastle,2.333333333,1.285714286,1.461538462,1.615384615,1.5,1.285714286,1.076923077,1.615384615,16,10.57142857,12.15384615,12.15384615,3.076923077,4.769230769,4.666666667,3.142857143,0.666666667,0.285714286,0.333333333,0.285714286,1,0,0,2,1,0
Cardiff,Watford,0.5,1,0.75,1.083333333,1,1.5,0.833333333,1.5,11.66666667,10.83333333,11.33333333,11.33333333,4,4.666666667,4.333333333,4.666666667,1,1,0.666666667,1,2,0,1,6,1,1
West Ham,Fulham,2.166666667,0.5,1.583333333,0.75,2.333333333,0.666666667,1.666666667,0.75,13,11.33333333,12.33333333,12.33333333,4.25,3.5,4.333333333,4.333333333,1,0.5,0.666666667,0.5,0,1,0,4,1,1
Bournemouth,Wolves,0.833333333,0.714285714,1,1.5,0.833333333,0.714285714,1.583333333,1.083333333,10.83333333,8.857142857,11.08333333,11.08333333,4.25,2.833333333,3.166666667,1.714285714,0.5,0.285714286,0.333333333,0.285714286,1,0,0,2,1,0
Burnley,Tottenham,1.285714286,0,1.083333333,0.916666667,1.285714286,0.5,1.333333333,1.083333333,10.85714286,12.33333333,9.416666667,9.416666667,2.833333333,4.333333333,3.285714286,3.666666667,0.857142857,0.5,0.571428571,0.5,0,1,0,3,1,1
Leicester,Crystal Palace,1.857142857,2.5,1.666666667,1.833333333,1.571428571,2.333333333,1.666666667,2,18.14285714,10.33333333,15.5,15.5,5.166666667,3.833333333,5.714285714,4.166666667,0.714285714,0.666666667,0.571428571,0.666666667,2,0,1,5,1,1
Newcastle,Huddersfield,2,0.142857143,1.666666667,0.416666667,2,0.571428571,1.666666667,0.666666667,17.83333333,8.714285714,14.33333333,14.33333333,4.916666667,2.833333333,6.666666667,2.857142857,0.833333333,0.428571429,0.5,0.428571429,0,1,0,2,1,0
Arsenal,Southampton,2.166666667,0.666666667,1.666666667,1.25,2.333333333,0.833333333,1.666666667,1.416666667,13.5,9.666666667,12.5,12.5,4.166666667,3.5,5,2.833333333,1,0.5,0.333333333,0.5,0,1,0,2,1,0
Man United,Liverpool,1.571428571,2.333333333,1.25,2.666666667,1.142857143,1.666666667,1.083333333,2.5,12.71428571,13,13.66666667,13.66666667,4.5,5.166666667,4.857142857,4.166666667,0.857142857,0.5,0.428571429,0.5,1,0,0,0,0,0
Cardiff,Everton,0.6,1.333333333,0.818181818,1.909090909,1,1.5,0.818181818,1.636363636,11,13.83333333,11,11,3.818181818,5.454545455,4,4.833333333,1,0.5,0.6,0.5,2,0,1,3,1,1
Huddersfield,Wolves,0.8,0.666666667,0.454545455,1.545454545,0.8,0.666666667,0.727272727,1.090909091,10.6,8.666666667,10.09090909,10.09090909,3,2.909090909,2.8,1.666666667,0.8,0.333333333,0.4,0.333333333,0,1,0,1,0,0
Leicester,Brighton,2.166666667,0.833333333,1.818181818,0.75,1.666666667,0.666666667,1.727272727,0.583333333,16.66666667,7.333333333,14.45454545,13.25,5.181818182,2.083333333,5.833333333,2.166666667,0.666666667,0.5,0.5,0.5,0,1,0,3,1,1
Newcastle,Burnley,1.8,0.8,1.545454545,0.909090909,2,1.4,1.636363636,1.272727273,15.6,7.4,13,13,4.272727273,2.727272727,5.6,2.2,0.8,0.6,0.6,0.6,0,1,0,2,1,0
Arsenal,Bournemouth,2,1.166666667,1.545454545,1,2.4,2.333333333,1.636363636,1.636363636,13.8,11.33333333,12.54545455,12.54545455,4.181818182,4.363636364,5.2,5.333333333,1,0.666666667,0.4,0.666666667,0,1,0,6,1,1
Chelsea,Tottenham,2.333333333,0,1.833333333,1,2.166666667,0.4,1.5,1.090909091,17.83333333,11.4,16.66666667,18.18181818,5.083333333,4.181818182,6,3.2,1,0.4,0.5,0.4,0,1,0,2,1,0
Crystal Palace,Man United,1.166666667,0.8,1.727272727,1.272727273,1.666666667,1,1.818181818,1.181818182,13.83333333,15,12.54545455,12.54545455,3.727272727,4.636363636,3.5,4,0.833333333,0.6,0.666666667,0.6,2,0,1,4,1,1
Liverpool,Watford,3,0.6,2.818181818,0.909090909,3.333333333,0.8,2.727272727,1.181818182,17.5,10.6,16,16,5.545454545,4.454545455,6.166666667,4.2,1,1,0.666666667,1,0,1,0,5,1,1
Man City,West Ham,3,1,3,1.454545455,1.6,1,1.909090909,1.545454545,20,11.66666667,20,20,7,4,7.2,4.166666667,0.4,0.333333333,0.2,0.333333333,0,1,0,1,0,0
Southampton,Fulham,1.833333333,0.6,1.363636364,0.818181818,2,0.6,1.545454545,0.727272727,13.66666667,12,11.81818182,11.81818182,3.454545455,3.363636364,4.166666667,4.2,1,0.4,0.666666667,0.4,0,1,0,2,1,0
Bournemouth,Man City,0.8,3,1.1,3,0.8,2.166666667,1.7,2,11,20,11,11,4.3,7,3.2,6.833333333,0.4,0.333333333,0.4,0.333333333,2,0,1,1,0,0
Brighton,Huddersfield,0.666666667,0.166666667,0.818181818,0.2,0.5,0.666666667,0.545454545,0.7,10.66666667,9.666666667,8.454545455,9.3,2,3,2,3.166666667,0.666666667,0.5,0.333333333,0.5,0,1,0,1,0,0
Burnley,Crystal Palace,1,2.4,1,1.9,1.166666667,2,1.4,1.9,11,11,9.1,9.1,2.8,3.9,3.166666667,4,0.833333333,0.6,0.5,0.6,2,0,1,4,1,1
Man United,Southampton,1.666666667,0.8,1.1,1.2,1.333333333,1,1,1.5,13.83333333,9.6,14.5,14.5,4.7,3.4,5.166666667,2.6,1,0.6,0.5,0.6,0,1,0,5,1,1
Tottenham,Arsenal,1.833333333,1.166666667,1.1,1.4,1.666666667,1,1.2,1.3,18.66666667,11.5,16,16,4.6,4,5,3.333333333,0.666666667,0.5,0.333333333,0.5,1,0,0,2,1,0
West Ham,Newcastle,2,1.333333333,1.6,1.4,2.2,1.333333333,1.7,1.6,11.4,10.83333333,12.5,12.5,4.3,4.4,3.8,3.166666667,1,0.333333333,0.6,0.333333333,0,1,0,2,1,0
Wolves,Cardiff,2.6,1,1.7,0.9,1.6,0.666666667,1.2,0.9,14.8,11,11.9,11.9,3.2,4.2,4.4,3.666666667,0.6,0,0.4,0,0,1,0,2,1,0
Everton,Liverpool,2.6,2.6,1.8,2.8,1.8,2,1.5,2.5,16,14.2,15.1,15.1,5.6,5.1,6.2,4.8,0.6,0.6,0.2,0.6,1,0,0,0,0,0
Fulham,Chelsea,1,1.333333333,0.9,1.727272727,0.833333333,0.833333333,0.8,1.454545455,10,15.5,10.6,9.636363636,3.3,5.454545455,2.666666667,4.166666667,0.833333333,0.333333333,0.5,0.333333333,2,0,1,3,1,1
Watford,Leicester,1.166666667,1.4,1,1.7,1.5,1.8,1.3,1.7,12.33333333,11.8,12.2,12.2,4.6,5.4,4.666666667,4.4,0.833333333,0.8,0.666666667,0.8,0,1,0,3,1,1
Cardiff,West Ham,0.75,1.2,1,1.444444444,1.25,1.2,1,1.666666667,12.25,13.6,11.44444444,11.44444444,4.222222222,4.333333333,5,4.8,1,0.4,0.5,0.4,0,1,0,2,1,0
Crystal Palace,Brighton,1.4,1,1.777777778,0.6,1.8,0.6,1.777777778,0.5,13.2,5.8,12.33333333,11.1,3.888888889,1.8,3.8,2,0.8,0.4,0.6,0.4,2,0,1,3,1,1
Huddersfield,Bournemouth,0.25,1.4,0.222222222,1.222222222,0.75,2.6,0.777777778,1.888888889,9.5,11,10,10,2.888888889,4.777777778,2.75,5.4,1,0.6,0.5,0.6,2,0,1,2,1,0
Leicester,Fulham,2,0.75,1.888888889,1,1.6,0.75,1.777777778,0.777777778,16.2,11.5,14,14,5.777777778,3.111111111,6.4,4.25,0.6,0.5,0.4,0.5,0,1,0,4,1,1
Man City,Watford,3,0.75,3,0.777777778,1.75,1,2.111111111,1.222222222,20,12,19.66666667,19.66666667,7,4.555555556,7.25,4.5,0.5,1,0.25,1,0,1,0,4,1,1
Newcastle,Everton,1.5,1,1.555555556,1.888888889,2,1.2,1.777777778,1.666666667,16.5,14.2,12.66666667,12.66666667,4.666666667,5.888888889,6.25,5,0.75,0.4,0.75,0.4,0,1,0,5,1,1
Southampton,Tottenham,1.6,0,1.333333333,1.111111111,2,0.5,1.444444444,1.222222222,13.6,12,12.22222222,12.22222222,3.444444444,4.777777778,4.2,4,1,0.5,0.8,0.5,0,1,0,3,1,1
Arsenal,Man United,1.75,0.25,1.444444444,0.888888889,1.75,0.5,1.333333333,0.777777778,13.25,15.5,12.55555556,12.55555556,4,4.555555556,5,4,1,0.5,0.25,0.5,0,1,0,2,1,0
Chelsea,Wolves,2.2,0.8,1.6,1.555555556,2.2,0.8,1.4,1.111111111,19.2,9,16.9,18.77777778,5.3,2.888888889,7,2,1,0.4,0.6,0.4,1,0,0,2,1,0
Liverpool,Burnley,3,1,3,1.111111111,3,1.75,2.777777778,1.444444444,17.2,6.25,16.33333333,16.33333333,5.333333333,2.666666667,5.4,2.25,1,0.75,0.6,0.75,0,1,0,6,1,1
Bournemouth,Newcastle,1,1.6,1,1.375,1,1.6,1.875,1.625,13.75,9.6,12.75,12.75,4.75,4.375,4,3.4,0.5,0.4,0.5,0.4,1,0,0,4,1,1
Burnley,Leicester,1.2,1.75,1.25,1.75,1.2,2,1.375,1.625,9.6,11.25,8.75,8.75,2.75,5.5,3,5,0.8,0.75,0.4,0.75,2,0,1,3,1,1
West Ham,Huddersfield,1.75,0.2,1.625,0.25,2.25,0.8,1.875,0.875,11.75,10.4,13.25,13.25,4.625,3.125,3.75,3,1,0.6,0.75,0.6,0,1,0,7,1,1
